task_id,task_description,baseline_trials,baseline_timing_trials,adaptive_trials,baseline_success_rate,adaptive_success_rate,success_change_pp,baseline_steps,adaptive_steps,steps_change_pct,baseline_calls_per_episode,adaptive_calls_per_episode,calls_reduction_pct,baseline_policy_total_ms_per_episode,adaptive_policy_total_ms_per_episode,policy_total_speedup_pct,baseline_server_total_ms_per_episode,adaptive_server_total_ms_per_episode,server_total_speedup_pct,adaptive_avg_replan_horizon,adaptive_avg_low_entropy_target_horizon,adaptive_avg_stage_guard
0,put both the alphabet soup and the tomato sauce in the basket,20,19,20,1.0,1.0,0.0,289.85,285.95,-1.3455235466620783,56.6,47.9,15.371024734982337,4497.276635056263,3512.56,21.895843083798734,4821.457614926131,3731.35,22.60950322473866,5.85,6.21,0.44
1,put both the cream cheese box and the butter in the basket,20,20,20,1.0,1.0,0.0,267.1,258.15,-3.350804941969317,52.05,48.1,7.588856868395766,4075.7384387776256,3513.99,13.782740163917447,4348.8806784152985,3731.46,14.197231979247638,5.26,5.41,0.53
2,turn on the stove and put the moka pot on it,20,20,20,1.0,0.9,-9.999999999999998,262.5,334.8,27.542857142857148,51.05,61.9,-21.253672869735556,3973.478752654046,4519.14,-13.7325824878637,4250.942986831069,4795.41,-12.808146683115416,5.39,5.51,0.33
3,put the black bowl in the bottom drawer of the cabinet and close it,20,20,20,1.0,1.0,0.0,236.05,234.8,-0.5295488244016098,45.85,40.95,10.687022900763356,3565.283692162484,2974.42,16.572697804143097,3805.5212155915797,3149.98,17.226055997421994,5.58,5.79,0.36
4,put the white mug on the left plate and put the yellow and white mug on the right plate,20,20,20,1.0,1.0,0.0,242.85,251.65,3.6236359892938075,47.15,43.05,8.695652173913047,3680.6108468212187,3170.52,13.858863869342821,3936.1867994070053,3376.5,14.219010121453667,5.68,6.08,0.47
5,pick up the book and place it in the back compartment of the caddy,20,20,20,0.95,0.95,0.0,216.7,220.85,1.9150899861559787,42.0,35.55,15.357142857142863,3269.68335788697,2578.8,21.129977501352077,3494.6088983677328,2732.51,21.807845184727103,6.37,6.74,0.3
6,put the white mug on the plate and put the chocolate pudding to the right of the plate,20,20,20,1.0,1.0,0.0,263.5,249.25,-5.407969639468691,51.2,38.95,23.92578125,3977.9535472393036,2830.18,28.85336728066766,4255.367069505155,2997.7,29.554843306417887,6.28,6.61,0.26
7,put both the alphabet soup and the cream cheese box in the basket,20,20,20,1.0,1.0,0.0,287.25,282.9,-1.514360313315935,56.05,51.8,7.582515611061552,4368.472308199853,3767.15,13.765047956722512,4669.326231908053,3994.69,14.448256523562131,5.35,5.65,0.54
8,put both moka pots on the stove,20,20,20,0.8,0.75,-5.000000000000004,564.8,594.1,5.187677053824375,111.6,97.75,12.41039426523297,8670.781874936074,7106.0,18.04660637882337,9246.939164865762,7534.33,18.52082223459317,6.18,6.62,0.32
9,put the yellow and white mug in the microwave and close it,20,20,20,1.0,0.95,-5.000000000000004,276.8,333.5,20.48410404624277,54.0,63.35,-17.314814814814817,4217.00630215928,4625.94,-9.697251285380561,4507.18469619751,4913.75,-9.020382593717303,5.16,5.22,0.47
