task_id,task_description,baseline_trials,adaptive_trials,baseline_success_rate,adaptive_success_rate,success_change_pp,baseline_calls_per_episode,adaptive_deployable_calls_per_episode,calls_reduction_pct,baseline_policy_total_ms_per_episode,adaptive_deployable_policy_total_ms_per_episode,policy_total_speedup_pct,baseline_server_total_ms_per_episode,adaptive_deployable_server_total_ms_per_episode,server_total_speedup_pct,adaptive_deployable_wall_total_ms_per_episode,adaptive_entropy_extra_calls_per_episode
0,put both the alphabet soup and the tomato sauce in the basket,49,20,1.0,0.95,-5.000000000000004,56.89795918367347,59.95,-5.364060258249643,4473.6498090989735,4365.78,2.411226039185654,4786.877916023439,4637.67,3.117019456961398,4697.57,239.8
1,put both the cream cheese box and the butter in the basket,50,20,1.0,1.0,0.0,52.5,57.55,-9.619047619047613,4110.952296890318,4166.53,-1.351942301829249,4391.8588130921125,4419.5,-0.6293733037475885,4476.1,230.2
2,turn on the stove and put the moka pot on it,50,20,1.0,0.95,-5.000000000000004,50.44,66.7,-32.23632038065029,3916.3531452044845,4829.27,-23.310381391764146,4183.192769736052,5113.26,-22.233429857516068,5179.23,266.8
3,put the black bowl in the bottom drawer of the cabinet and close it,50,20,1.0,1.0,0.0,48.9,47.2,3.4764826175869032,3803.835379779339,3429.53,9.840209746433668,4062.748271152377,3637.17,10.475132662641292,3684.13,188.8
4,put the white mug on the left plate and put the yellow and white mug on the right plate,50,20,1.0,1.0,0.0,48.2,47.2,2.0746887966804977,3768.5672974959016,3442.73,8.646184923177849,4029.5523860305548,3657.57,9.23135749072587,3700.79,188.8
5,pick up the book and place it in the back compartment of the caddy,50,20,0.92,0.95,2.9999999999999916,49.42,40.35,18.352893565358155,3844.0359634906054,2931.3,23.74420978782385,4111.4305644109845,3106.03,24.453789226403266,3141.95,161.4
6,put the white mug on the plate and put the chocolate pudding to the right of the plate,50,20,0.94,0.95,1.0000000000000009,58.08,49.25,15.203168044077135,4508.626610003412,3579.23,20.61374095475847,4823.789530992508,3799.75,21.228943021106662,3842.24,197.0
7,put both the alphabet soup and the cream cheese box in the basket,50,20,1.0,1.0,0.0,55.24,58.35,-5.62997827661115,4303.656160384417,4241.54,1.4433346454626663,4588.893547579646,4500.33,1.9299542833447925,4550.07,233.4
8,put both moka pots on the stove,50,20,0.82,0.65,-16.999999999999993,107.96,100.65,6.771026306039262,8384.476855024695,7315.19,12.753173197489213,8960.27268357575,7750.69,13.49939590335152,7849.32,402.6
9,put the yellow and white mug in the microwave and close it,50,20,0.98,0.9,-7.9999999999999964,57.52,90.9,-58.031988873435324,4487.241352275014,6554.79,-46.076163179338394,4793.394922204316,6924.43,-44.457740544684675,7016.56,363.6
