task_id,task_description,num_trials,success_count,success_rate,episode_steps_mean,episode_steps_std,inference_calls_mean_per_episode,inference_calls_std_per_episode,effective_env_steps_per_inference_mean,first_policy_ms_mean,first_server_ms_mean,policy_ms_mean_per_call_weighted,server_ms_mean_per_call_weighted,policy_ms_total_mean_per_episode,server_ms_total_mean_per_episode,policy_ms_mean_per_call_weighted_excluding_infer0,server_ms_mean_per_call_weighted_excluding_infer0,policy_ms_total_mean_per_episode_excluding_infer0,server_ms_total_mean_per_episode_excluding_infer0,total_observed_inference_rows,total_observed_inference_rows_excluding_infer0
0,put both the alphabet soup and the tomato sauce in the basket,50,50,1.0,290.7,42.29101559433162,56.76,8.505433557438446,5.124097854104939,679.398042447865,686.2078966200352,89.19939833710927,94.70676517650915,5062.957849614322,5375.55599141866,78.61477416008711,84.09878218792369,4383.559807166457,4689.3480947986245,2838,2788
1,put both the cream cheese box and the butter in the basket,50,50,1.0,269.58,53.41314070526091,52.5,10.636258740741502,5.137608871272531,79.04068727046251,84.58537586033344,78.3038532741013,83.6544535827069,4110.952296890318,4391.8588130921125,78.28954581786128,83.63637742197629,4031.911609619856,4307.273437231779,2625,2575
2,turn on the stove and put the moka pot on it,50,50,1.0,259.48,39.03395444994012,50.44,7.777300302804309,5.1464784828527685,78.86810678988695,84.17267065495253,77.64379748621103,82.93403587898595,3916.3531452044845,4183.192769736052,77.61903394851532,82.9089825865918,3837.4850384145975,4099.020099081099,2522,2472
3,put the black bowl in the bottom drawer of the cabinet and close it,50,50,1.0,251.44,58.50065298780861,48.9,11.657186624567696,5.146409010468933,78.96946176886559,84.9021914228797,77.7880445762646,83.08278673113246,3803.835379779339,4062.748271152377,77.76338033424787,83.04480333464504,3724.8659180104733,3977.8460797294974,2445,2395
4,put the white mug on the left plate and put the yellow and white mug on the right plate,50,50,1.0,248.2,15.24204710660612,48.2,3.0983866769659336,5.150405523945621,79.17553838342428,84.80405993759632,78.18604351651248,83.60067190934761,3768.5672974959016,4029.5523860305548,78.1650796422135,83.57517640027454,3689.3917591124773,3944.7483260929585,2410,2360
5,pick up the book and place it in the back compartment of the caddy,50,46,0.92,253.96,226.09510919080049,49.42,45.3396471093457,5.187628772302572,79.03631806373596,84.5587881654501,77.78300209410371,83.19365771774554,3844.0359634906054,4111.4305644109845,77.75711783202952,83.16546419342285,3764.9996454268694,4026.8717762455344,2471,2421
6,put the white mug on the plate and put the chocolate pudding to the right of the plate,50,47,0.94,297.38,185.84551541535782,58.08,37.28422722814568,5.14345606235976,79.21088453382254,84.78370390832424,77.62786862953533,83.05422746199221,4508.626610003412,4823.789530992508,77.60013534459686,83.02392829509782,4429.415725469589,4739.005827084184,2904,2854
7,put both the alphabet soup and the cream cheese box in the basket,50,50,1.0,283.44,48.44549927495845,55.24,9.713001595799312,5.1347239397142665,78.7854615971446,84.29400093853474,77.90833020246953,83.07193243265108,4303.656160384417,4588.893547579646,77.89215890094528,83.04940167111194,4224.870698787272,4504.599546641111,2762,2712
8,put both moka pots on the stove,50,41,0.82,546.58,234.8953034864682,107.96,47.12280127496667,5.074041597612712,78.8716633990407,84.32993292808533,77.66280895724987,82.99622715427704,8384.476855024695,8960.27268357575,77.6515070271658,82.98375795295124,8305.605191625655,8875.942750647664,5398,5348
9,put the yellow and white mug in the microwave and close it,50,49,0.98,294.6,105.3707739366092,57.52,21.125567448000066,5.128318595391374,79.22342170029879,84.6628239005804,78.01184548461428,83.3344040717023,4487.241352275014,4793.394922204316,77.99040924583714,83.31090053615951,4408.017930574715,4708.732098303735,2876,2826
all,all libero_10 tasks,500,483,0.966,299.536,153.3061143725194,58.502,30.726503152815813,5.137316871002548,139.0579585954547,144.7301444336772,78.95576717063093,84.30598865029052,4619.070291016251,4932.068948019296,77.91054802303913,83.25517031730408,4480.012332420796,4787.338803585619,29251,28751
