task_id,task_description,num_trials,success_rate,inference_calls_mean_per_episode,policy_ms_mean_per_call_weighted,server_ms_mean_per_call_weighted,policy_ms_total_mean_per_episode,server_ms_total_mean_per_episode
0,put both the alphabet soup and the tomato sauce in the basket,49,1.0,56.89795918367347,78.6258395429877,84.13092463599301,4473.6498090989735,4786.877916023439
1,put both the cream cheese box and the butter in the basket,50,1.0,52.5,78.3038532741013,83.6544535827069,4110.952296890318,4391.8588130921125
2,turn on the stove and put the moka pot on it,50,1.0,50.44,77.64379748621103,82.93403587898595,3916.3531452044845,4183.192769736052
3,put the black bowl in the bottom drawer of the cabinet and close it,50,1.0,48.9,77.7880445762646,83.08278673113246,3803.835379779339,4062.748271152377
4,put the white mug on the left plate and put the yellow and white mug on the right plate,50,1.0,48.2,78.18604351651248,83.60067190934761,3768.5672974959016,4029.5523860305548
5,pick up the book and place it in the back compartment of the caddy,50,0.92,49.42,77.78300209410371,83.19365771774554,3844.0359634906054,4111.4305644109845
6,put the white mug on the plate and put the chocolate pudding to the right of the plate,50,0.94,58.08,77.62786862953533,83.05422746199221,4508.626610003412,4823.789530992508
7,put both the alphabet soup and the cream cheese box in the basket,50,1.0,55.24,77.90833020246953,83.07193243265108,4303.656160384417,4588.893547579646
8,put both moka pots on the stove,50,0.82,107.96,77.66280895724987,82.99622715427704,8384.476855024695,8960.27268357575
9,put the yellow and white mug in the microwave and close it,50,0.98,57.52,78.01184548461428,83.3344040717023,4487.241352275014,4793.394922204316
